Category,Rank,Entrant,Company/Product,Innovation (0-100),Impact (0-100),Execution (0-100),Results (0-100),Total (/400),Confidence,Notes
Best AI for Registration & Onboarding,1,Linnea Seifert,eBrain Technology Group GmbH / eBrain,90,91,89,90,360,Medium,End-to-end redesign with strongest queue-time and onboarding evidence
Best AI for Registration & Onboarding,2,Tracy Kamau,InEvent / Smart Registration Forms,78,86,88,85,337,Medium,Strong operational value and metrics
Best AI for Registration & Onboarding,3,Brandt Krueger,EventMobi / EventMobi Integration Hub,74,80,90,80,324,Medium-High,Mature and credible but slightly adjacent to category core
Best AI for Registration & Onboarding,4,Kerem Baran,Eventpack / AI Registration Approval,82,72,74,40,268,High,Interesting early-stage idea with limited live proof
Best AI for Social Media & Community Building,1,Rich Belcher,MyGraduationClip,84,92,88,92,356,Medium,Strongest causal link between speed sharing and community conversion
Best AI for Social Media & Community Building,2,Johan Wadenholt Vrethem,Voxo / Voxo Event,86,89,91,88,354,Lower,Excellent scale and infrastructure
Best Collaboration Between Agency/Organiser & AI Supplier,1,Daniel Radford,gassProductions / AI-Assisted Multi-Camera Live Production,90,85,93,89,357,High,Best proof that the partnership itself is the innovation
Best Collaboration Between Agency/Organiser & AI Supplier,2,Rich Belcher,First Sight Media / MyGraduationClip,85,91,89,90,355,Medium,Very strong outcomes with some overlap to standalone entry
Best Collaboration Between Agency/Organiser & AI Supplier,3,Johan Wadenholt Vrethem,Voxo / Voxo Event,82,88,90,87,347,Lower,Strong partner model but less differentiated as collaboration-specific innovation
Most Innovative AI Application in Events,1,Lochlainn Byrne,Rozie Synopsis,93,92,91,91,367,Medium-High,Most complete blend of originality multi-stakeholder value and evidence
Most Innovative AI Application in Events,2,Linnea Seifert,eBrain Technology Group GmbH / eBrain,91,90,89,88,358,Medium,AI-centric operating model with broad operational leverage
Most Innovative AI Application in Events,3,Daniel Li,DNA Vision Co. Ltd. / DNA Vision Pro,92,87,87,86,352,Medium,Highly original closed-loop operating system with strong beta traction
Most Innovative AI Application in Events,4,Daniel Radford,gassProductions / AI-Assisted Multi-Camera Live Production,89,83,92,88,352,High,Strong live proof and methodology but narrower system impact
Most Innovative AI Application in Events,5,Cagla Bagbasi,Pointr / AI MapScale™,88,84,87,84,343,High,Serious technical novelty and flagship venue credibility
Most Innovative AI Application in Events,6,Jan Filipzik,VOK DAMS Events GmbH / Digital Doppelgänger,90,82,84,76,332,Medium-Low,Fresh simulation idea with more directional than hard-outcome proof
Most Innovative AI Application in Events,7,Ethan Rosch,Piper / Piper Pitch,86,82,86,78,332,Medium,Strong workflow proof still early on broad live evidence
Most Innovative AI Application in Events,8,Kristy Clark,Gramercy Tech / Seek - The AI Scavenger Hunt,82,80,85,78,325,Medium-High,Clever and engaging but narrower than leaders
Most Innovative AI Application in Events,9,Ryan Golden,EventWeb / ExhibitGen,80,78,80,74,312,Medium,Useful workflow innovation with thinner evidence base
Most Innovative AI Application in Events,10,Brandt Krueger,EventMobi / MobiAI Registration Concierge,78,79,82,70,309,Medium,Practical embedded assistant but less distinctive than top entries
