Category,Entrant,Company/Product,Innovation (0-100),Impact (0-100),Execution (0-100),Results (0-100),Total (/400),Judge Notes
Best AI for Registration & Onboarding,Kerem Baran,Eventpack / AI Registration Approval,,,,,,
Best AI for Registration & Onboarding,Tracy Kamau,InEvent / Smart Registration Forms,,,,,,
Best AI for Registration & Onboarding,Brandt Krueger,EventMobi / EventMobi Integration Hub,,,,,,
Best AI for Registration & Onboarding,Linnea Seifert,eBrain Technology Group GmbH / eBrain,,,,,,
Best AI for Social Media & Community Building,Rich Belcher,MyGraduationClip,,,,,,
Best AI for Social Media & Community Building,Johan Wadenholt Vrethem,Voxo / Voxo Event,,,,,,
Best Collaboration Between Agency/Organiser & AI Supplier,Rich Belcher,First Sight Media / MyGraduationClip,,,,,,
Best Collaboration Between Agency/Organiser & AI Supplier,Daniel Radford,gassProductions / AI-Assisted Multi-Camera Live Production,,,,,,
Best Collaboration Between Agency/Organiser & AI Supplier,Johan Wadenholt Vrethem,Voxo / Voxo Event,,,,,,
Most Innovative AI Application in Events,Cagla Bagbasi,Pointr / AI MapScale™,,,,,,
Most Innovative AI Application in Events,Lochlainn Byrne,Rozie Synopsis,,,,,,
Most Innovative AI Application in Events,Kristy Clark,Gramercy Tech / Seek - The AI Scavenger Hunt,,,,,,
Most Innovative AI Application in Events,Jan Filipzik,VOK DAMS Events GmbH,,,,,,
Most Innovative AI Application in Events,Ryan Golden,EventWeb,,,,,,
Most Innovative AI Application in Events,Brandt Krueger,EventMobi,,,,,,
Most Innovative AI Application in Events,Daniel Li,DNA Vision Co., Ltd. / DNA Vision Pro,,,,,,
Most Innovative AI Application in Events,Daniel Radford,gassProductions,,,,,,
Most Innovative AI Application in Events,Ethan Rosch,Piper,,,,,,
Most Innovative AI Application in Events,Linnea Seifert,eBrain Technology Group GmbH / eBrain,,,,,,
